"REF_DATE","GEO","DGUID","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","New Brunswick","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457926","5.1.2","100","","","","0"
"1987","New Brunswick","","Males","Total number of police officers","Number","223","units ","0","v19457927","5.2.1","1162","","","","0"
"1987","New Brunswick","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457928","5.2.2","96.8","","","","1"
"1987","New Brunswick","","Females","Total number of police officers","Number","223","units ","0","v19457929","5.3.1","39","","","","0"
"1987","New Brunswick","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457930","5.3.2","3.2","","","","1"
"1987","Quebec","","Both sexes","Total number of police officers","Number","223","units ","0","v19457931","6.1.1","13801","","","","0"
"1987","Quebec","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457932","6.1.2","100","","","","0"
"1987","Quebec","","Males","Total number of police officers","Number","223","units ","0","v19457933","6.2.1","13392","","","","0"
"1987","Quebec","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457934","6.2.2","97.0","","","","1"
"1987","Quebec","","Females","Total number of police officers","Number","223","units ","0","v19457935","6.3.1","409","","","","0"
"1987","Quebec","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457936","6.3.2","3.0","","","","1"
"1987","Ontario","","Both sexes","Total number of police officers","Number","223","units ","0","v19457937","7.1.1","18836","","","","0"
"1987","Ontario","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457938","7.1.2","100","","","","0"
"1987","Ontario","","Males","Total number of police officers","Number","223","units ","0","v19457939","7.2.1","18044","","","","0"
"1987","Ontario","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457940","7.2.2","95.8","","","","1"
"1987","Ontario","","Females","Total number of police officers","Number","223","units ","0","v19457941","7.3.1","792","","","","0"
"1987","Ontario","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457942","7.3.2","4.2","","","","1"
"1987","Manitoba","","Both sexes","Total number of police officers","Number","223","units ","0","v19457943","8.1.1","2095","","","","0"
"1987","Manitoba","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457944","8.1.2","100","","","","0"
"1987","Manitoba","","Males","Total number of police officers","Number","223","units ","0","v19457945","8.2.1","2003","","","","0"
"1987","Manitoba","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457946","8.2.2","95.6","","","","1"
"1987","Manitoba","","Females","Total number of police officers","Number","223","units ","0","v19457947","8.3.1","92","","","","0"
"1987","Manitoba","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457948","8.3.2","4.4","","","","1"
"1987","Saskatchewan","","Both sexes","Total number of police officers","Number","223","units ","0","v19457949","9.1.1","1939","","","","0"
"1987","Saskatchewan","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457950","9.1.2","100","","","","0"
"1987","Saskatchewan","","Males","Total number of police officers","Number","223","units ","0","v19457951","9.2.1","1859","","","","0"
